dataset_id,pid
CMIP6.CMIP.E3SM-Project.E3SM-1-1.piControl.r1i1p1f1.Amon.rlut.gr.v20191029,hdl:21.14100/cd6c7412-78aa-3d21-be32-20961a83ef44
CMIP6.CMIP.E3SM-Project.E3SM-1-1.piControl.r1i1p1f1.Amon.pr.gr.v20191029,hdl:21.14100/01029623-e11e-31cb-9da8-d328febb7a58
CMIP6.CMIP.E3SM-Project.E3SM-1-1.piControl.r1i1p1f1.Amon.ts.gr.v20191029,hdl:21.14100/73d45ff2-780d-3737-96d8-02bd3b859df7
CMIP6.CMIP.E3SM-Project.E3SM-1-1.piControl.r1i1p1f1.Amon.rsut.gr.v20191029,hdl:21.14100/7de7aa0e-b641-39b6-9f3f-bb00d05a538e
CMIP6.CMIP.E3SM-Project.E3SM-1-1.piControl.r1i1p1f1.Amon.evspsbl.gr.v20191029,hdl:21.14100/19346903-0800-31ae-b35c-b0a486834837
CMIP6.CMIP.E3SM-Project.E3SM-1-1.piControl.r1i1p1f1.Amon.rlutcs.gr.v20191029,hdl:21.14100/5faad441-e2d2-3289-963d-14f01c246b4d
CMIP6.CMIP.E3SM-Project.E3SM-1-1.piControl.r1i1p1f1.Amon.rsds.gr.v20191029,hdl:21.14100/3014db3c-bbb7-3f3d-8ed1-d4f9ff03fdf8
CMIP6.CMIP.E3SM-Project.E3SM-1-1.piControl.r1i1p1f1.Amon.rsutcs.gr.v20191029,hdl:21.14100/c6aa0765-5d17-398d-a113-1089f61e52d9
CMIP6.CMIP.E3SM-Project.E3SM-1-1.piControl.r1i1p1f1.Amon.prsn.gr.v20191029,hdl:21.14100/729724c5-0dee-3e8d-b6a2-b5d34f63947c
CMIP6.CMIP.E3SM-Project.E3SM-1-1.piControl.r1i1p1f1.Omon.zos.gr.v20191028,hdl:21.14100/0fbff8a3-7cc5-3748-b80f-13d2280e3d49
CMIP6.CMIP.E3SM-Project.E3SM-1-1.piControl.r1i1p1f1.Omon.thetao.gr.v20191028,hdl:21.14100/f37ec7bd-2b5d-3499-95df-d35ce7d5f129
CMIP6.CMIP.E3SM-Project.E3SM-1-1.piControl.r1i1p1f1.Omon.thetaoga.gr.v20191028,hdl:21.14100/3031d018-9709-301c-920d-80f30a9befd7
CMIP6.CMIP.E3SM-Project.E3SM-1-1.piControl.r1i1p1f1.Omon.tos.gr.v20191028,hdl:21.14100/f67a277d-dfc4-3b06-8f25-667aafbf8f4c
CMIP6.CMIP.E3SM-Project.E3SM-1-1.historical.r1i1p1f1.SImon.sithick.gr.v20191206,hdl:21.14100/cfa71241-e1ab-37b1-80c2-f616ce48b278
CMIP6.CMIP.E3SM-Project.E3SM-1-1.historical.r1i1p1f1.SImon.siconc.gr.v20191210,hdl:21.14100/baa4a65d-d796-3314-8624-21675e50f448
CMIP6.CMIP.E3SM-Project.E3SM-1-1.historical.r1i1p1f1.Omon.sos.gr.v20191204,hdl:21.14100/1761fda7-7350-3d49-910a-3aa5e3e85fb0
CMIP6.CMIP.E3SM-Project.E3SM-1-1.historical.r1i1p1f1.Omon.hfds.gr.v20191204,hdl:21.14100/14d4d325-ddb2-3fdb-8e09-039d51f248b8
CMIP6.CMIP.E3SM-Project.E3SM-1-1.historical.r1i1p1f1.Omon.so.gr.v20191204,hdl:21.14100/3a457f41-5438-358d-9906-1395e1df08a3
CMIP6.CMIP.E3SM-Project.E3SM-1-1.historical.r1i1p1f1.Omon.volo.gr.v20191204,hdl:21.14100/95a16579-4f2a-3ec2-837e-08a35029e208
CMIP6.CMIP.E3SM-Project.E3SM-1-1.historical.r1i1p1f1.Omon.masscello.gr.v20191204,hdl:21.14100/ea7e0bbb-4de4-3483-a187-4dd52f676c35
CMIP6.CMIP.E3SM-Project.E3SM-1-1.historical.r1i1p1f1.Omon.zos.gr.v20191204,hdl:21.14100/d817513c-04fc-393f-aa01-d25f2c1545e6
CMIP6.CMIP.E3SM-Project.E3SM-1-1.historical.r1i1p1f1.Omon.mlotst.gr.v20191204,hdl:21.14100/e820cf11-fecb-39ef-942e-7772e65df6eb
CMIP6.CMIP.E3SM-Project.E3SM-1-1.historical.r1i1p1f1.Omon.msftmz.gr.v20191204,hdl:21.14100/47dcd359-546e-3f85-b19f-77e01aec8f66
